,,,,,,,,,Brand Code,Brand Name,Pack Size,Price Wise,Proposition,
Avg. Price,Avg. price (rupees per 100 gram cake); computed from total volume and value,,,,,,,,84,Pandora Glycerine,100 G,2,13,
Purch. Vol. no promo,Percent of volume purchased not on promotion,,,,,,,,85,Himani Turmeric,75 G,2,15,
Purch Vol. promo 6,Percent of volume purchased on promo code 6,,,,,,,,86,Mysore Jasmine,150 G,1,5,
Purch. Vol other promo,Percent of volume purchased on promo code other than 6,,,,,,,,87,Pond's Herbal,75 G,1,7,
,,,,,,,,,88,Hallo Glycerine,75 G,2,13,
,,,,,,,,,89,Sonali Glycerine,100 G,2,13,
Brand Codelist,(see right),,,,,,,,90,Santoor (N/S),100 G,2,5,
,,,,,,,,,91,Clearasil Daily Wash,75 M,1,5,
Price Codelist,,,,,,,,,92,Godrej Marvel (N/S),75 G,1,15,
1,ANY PREMIUM SOAPS,,,,,,,,93,Super-Fresh,75 G,1,15,
2,ANY POPULAR SOAP,,,,,,,,94,Montage,75 G,1,15,
3,ANY ECONOMY/CARBOLIC,,,,,,,,95,Palmolive,75 G,2,5,
4,ANY SUB-POPULAR,,,,,,,,96,Caress,75 G,1,5,
,,,,,,,,,97,Sansar,100 G,2,15,
Promotion Codelist,,,,,,,,,98,Aramusk,100 G,1,15,
1,Price off,,,,,,,,99,Pond's Baby,75 G,1,15,
2,Exchange Offer,,,,,,,,100,Pond's Cold Cream Soap,150 G,1,5,
3,Coupons,,,,,,,,101,Wipro Shikakai (Vita.E),100 G,1,9,
4,Extra grammage,,,,,,,,102,Fresca,75 G,2,5,
5,Value added Pack,,,,,,,,103,Oasis,20 G,2,5,
6,Banded Offer,,,,,,,,104,Fresh,,2,5,
7,Free gift,,,,,,,,105,Saral,100 G,2,15,
8,Others,,,,,,,,106,Vigil,75 G,2,15,
,,,,,,,,,107,Keshnikar,100 G,2,9,
Proposition Codelist,,,,,,,,,108,Fresca,150 G,2,5,
5,ANY BEAUTY,,,,,,,,109,Lux International (N/S),75 G,1,5,
6,ANY HEALTH,,,,,,,,110,Breeze (N/S),100 G,4,5,
7,ANY HERBAL,,,,,,,,111,Nirma Beauty,100 G,4,5,
8,ANY FRESHNESS,,,,,,,,112,Ralak,100 G,3,5,
9,ANY HAIR,,,,,,,,113,Happy,100 G,2,15,
10,ANY SKIN CARE,,,,,,,,114,Lifebuoy,75 G,3,14,
11,ANY FAIRNESS,,,,,,,,115,Lux Beauty,75 G,2,5,
12,ANY BABY,,,,,,,,116,Pears Oil Clear,100 G,1,15,
13,ANY GLYCERINE,,,,,,,,117,Godrej Shikakai,75 G,1,9,
14,ANY CARBOLIC,,,,,,,,118,Goldmist,75 G,1,15,
15,ANY OTHERS,,,,,,,,119,Moti (N/S),75 G,1,5,
,,,,,,,,,120,Cinthol Lime,75 G,2,8,
,,,,,,,,,121,Ria Lime,75 G,2,8,
,,,,,,,,,122,Mysore Sandal Classic,75 G,1,5,
,,,,,,,,,123,Swastik Shikakai,75 G,1,9,
,,,,,,,,,124,Wipro Shikakai,75 G,1,9,
,,,,,,,,,125,Ralak,75 G,3,5,
,,,,,,,,,126,Hamam Herbal,20 G,2,7,
,,,,,,,,,127,Moloy Sandal,75 G,2,5,
,,,,,,,,,128,Lux Beauty,150 G,2,5,
,,,,,,,,,129,Moti Sandal,75 G,1,5,
,,,,,,,,,130,Pears,50 G,1,13,
,,,,,,,,,131,Swastik Neem,75 G,2,7,
,,,,,,,,,132,Odeon Beauty,75 G,2,5,
Durable Ownership,,,,,,,,,133,Aramusk,75 G,1,15,
Code,Durables,Affluence Weights ,,,,,,,134,Odeon Neem,100 G,2,7,
1,Radio/Transistor with FM,1,,,,,,,135,Palmolive E.C Pink,75 G,1,5,
2,Radio/Transistor without FM,1,,,,,,,136,Palmolive E.C Green,75 G,1,5,
3,Stereo/Mono Tape Recorder,1,,,,,,,137,Palmolive E.C White,75 G,1,5,
4,Two-in-one,2,,,,,,,138,Palmolive E.C (N/S),75 G,1,5,
5,Hi-Fi System/Music System without Compact disk,3,,,,,,,139,Nirma Beauty,150 G,4,5,
6,Hi-Fi System/Music System with Comapct disk,4,,,,,,,140,Rexona,150 G,2,5,
7,Walkman with FM,2,,,,,,,141,Shield,75 G,1,15,
8,Walkman without FM,2,,,,,,,142,Godrej Limelite,100 G,2,8,
9,Discman with FM,3,,,,,,,143,Nirmabath,100 G,3,14,
10,Discman without FM,3,,,,,,,144,Lux International White/,75 G,1,5,
11,Video (VCP/VCR),3,,,,,,,145,Lux Int.Peach-Dry Skin,75 G,1,5,
12,Laser Discs VCD/LD/DVD,5,,,,,,,146,Lux Int.Blue-Oily Skin,75 G,1,5,
13,TV - Black & White,2,,,,,,,147,Wipro Baby Soft,75 G,1,12,
14,Colour TV with remote,3,,,,,,,148,Lux Int.(N/S),75 G,1,5,
15,Colour TV without remote,3,,,,,,,149,Palmolive BeigeNorm.Skin,100 G,2,5,
16,Bicycle,1,,,,,,,150,Palmolive GreenOily Skin,100 G,2,5,
17,Moped,2,,,,,,,151,Palmolive Pink Dry Skin,100 G,2,5,
18,Motorcycle,8,,,,,,,152,Palmolive (New-N/S),100 G,2,5,
19,Scooter,5,,,,,,,153,Javan Neem,150 G,2,7,
20,Electric/Immersion Water heater,1,,,,,,,154,Nirma Shikakai,100 G,1,9,
21,LPG/Bio-Gas stove,1,,,,,,,155,Pond's Baby,85 G,1,15,
22,Mixer/Grinder,2,,,,,,,156,Breeze Sandal,100 G,4,5,
23,Pressure Cooker,1,,,,,,,157,Nirmabath,150 G,3,14,
24,Toaster,1,,,,,,,158,Rin Bath,100 G,2,15,
25,Cooking Range,4,,,,,,,159,Santoor (N/S),150 G,2,5,
26,Refrigerator - Non Frost free,3,,,,,,,160,Liril Cologne Lime,75 G,1,8,
27,Refrigerator - Frost free,5,,,,,,,161,Lifebuoy Plus,100 G,2,6,
28,Automatic dish washer,6,,,,,,,162,Delux Neem,75 G,1,7,
29,Oven - Electric,4,,,,,,,163,Mysore Rose,85 G,1,5,
30,Electric Pressure Cooker,2,,,,,,,164,Le Sancy (N/S),150 G,1,15,
31,Microwave Oven,5,,,,,,,165,Godrej Marvel Lilac,75 G,1,15,
32,Rice Cooker,2,,,,,,,166,Godrej Marvel Gold,75 G,1,15,
33,Electric Irons,1,,,,,,,167,Cinthol Cologne Lime,75 G,1,8,
34,Geyser,1,,,,,,,168,Moti Khus,75 G,1,5,
35,Cameras (still),2,,,,,,,169,Lifebuoy Plus,150 G,2,6,
36,Telephones (with NSD/STD/ISD),3,,,,,,,170,Kutir Special,100 G,2,15,
37,Telephones (Local only),2,,,,,,,171,Kutir Family,75 G,2,15,
38,"Air Coolers		",2,,,,,,,172,Fresca Cream,75 G,2,5,
39,Vacuum cleaner,2,,,,,,,173,Fresca Cool,75 G,2,5,
40,Air Conditioners,5,,,,,,,174,Ria Almond,100 G,2,15,
41,Water purifier (Aquaguard etc.),1,,,,,,,175,Neem,100 G,2,7,
42,Washing Machines (Rs.5000+) Semi Automatic,4,,,,,,,176,Hamam,150 G,2,7,
43,Washing Machines (Rs.5000+) Fully Automatic,5,,,,,,,177,Cinthol Sandal,75 G,1,8,
44,Washing Machines (Rs.5000+) Front Loading,6,,,,,,,178,Santoor,20 G,2,5,
45,Washing Machines (Rs.5000+) Top Loading,5,,,,,,,179,Le Sancy Pink,150 G,1,15,
46,Mobil/Cellular phone,4,,,,,,,180,Le Sancy White,150 G,1,15,
47,Pager,2,,,,,,,181,Le Sancy Blue,150 G,1,15,
48,Personal/Home Computers,8,,,,,,,182,Evita With Vitamin E,75 G,1,5,
49,Computer Printers,6,,,,,,,183,Ganga,100 G,2,5,
50,Fax Machine,6,,,,,,,184,Krishna Tulasi,75 G,2,15,
51,Video camera/Handycam,6,,,,,,,185,Santoor+ Promotion,100 G,2,5,
52,Radio Clock,2,,,,,,,186,Deluge Glycerine,85 G,2,13,
53,Deep Freezer,5,,,,,,,187,Lifebuoy Personnel,150 G,3,5,
54,Electirc Kettle,1,,,,,,,188,Other Glycerine Soap,,1,13,
55,Dish Washing Machine,5,,,,,,,189,Clearasil Daily Wash,25 M,1,5,
56,Kitchen Sink,1,,,,,,,190,Clearasil Daily Wash,50 M,1,5,
57,Floor Polisher,1,,,,,,,191,Santoor New Pack,100 G,2,5,
58,Cars/Jeeps/Vans,8,,,,,,,192,Vigil (New) Orange,75 G,2,15,
59,Auto Rickshaw,3,,,,,,,193,Vigil (New) Pink,75 G,2,15,
60,Tractors,5,,,,,,,194,Palmolive E.C White,150 G,1,5,
61,Oven-In Built Range,5,,,,,,,195,Palmolive E.C Pink,150 G,1,5,
62,Oven Ordinary Box (Gas),3,,,,,,,196,Palmolive E.C Green,150 G,1,5,
63,Electric Table Fan,1,,,,,,,197,Protex,75 G,1,6,
64,Electric Ceiling Fan,1,,,,,,,198,Palmolive Family Beige,100 G,2,5,
65,Torch,1,,,,,,,199,Palmolive Family Green,100 G,2,5,
66,Sewing Machine,2,,,,,,,200,Palmolive Family Pink,100 G,2,5,
67,Generator,5,,,,,,,201,Palmolive Family(N/S),100 G,2,5,
68,Pump Set/Water Pump,5,,,,,,,202,Helene Curtis Perfumed,,1,5,
,,,,,,,,,203,Liril Cologne (New),75 G,1,8,
,,,,,,,,,204,Liril Lime (New),75 G,1,8,
Not used:,,,,,,,,,205,Dove,100 G,1,10,
Product Codelist,,,,,,,,,206,Breeze Sandal (New),100 G,4,5,
02,Toilet Soaps,,,,,,,,207,Lux Int.White-Mild Clsr,75 G,1,5,
05,Tooth Paste/Powder,,,,,,,,208,Lux International Pink,75 G,1,5,
01,Washing Soaps/Detergents,,,,,,,,209,Margo,75 G,1,7,
21,Washing Powder,,,,,,,,210,Rexona New,150 G,2,5,
45,Skin Creams,,,,,,,,211,Lifebuoy Liquid,250 M,1,15,
20,Edible Oils/Ghee/Vanaspati,,,,,,,,212,Liril Deo Prfm A.S.Gel,150 M,1,8,
,,,,,,,,,213,Lux Int. Beauty Shower,150 G,1,5,
,,,,,,,,,214,Lux Int. Beauty Shower,50 G,1,5,
,,,,,,,,,215,Premium Luxury Perfumed,100 G,1,15,
,,,,,,,,,216,FA Fresh Gntl.Lgt.Due,85 G,1,8,
,,,,,,,,,217,FA Fresh Beauty Rose,85 G,1,8,
,,,,,,,,,218,Liril Deo Prf Active,75 G,1,8,
,,,,,,,,,219,Lux Beauty,50 G,2,5,
,,,,,,,,,220,Lux Int.Pink-Moisturiser,150 G,1,5,
,,,,,,,,,221,Cinthol Cologne White,75 G,1,8,
,,,,,,,,,222,Mysore Sp.Sandal Musk,75 G,1,5,
,,,,,,,,,223,Liril Deo Prfm A.S.Gel,7 M,1,8,
,,,,,,,,,224,Fresca Cool,100 G,2,5,
,,,,,,,,,225,Camay Classic-D.Pink,75 G,1,5,
,,,,,,,,,226,Camay Natural-White,75 G,1,5,
,,,,,,,,,227,Camay Classic-D.Pink,150 G,1,5,
,,,,,,,,,228,Ranga Jaba Glycerine,,1,13,
,,,,,,,,,229,Camay Milk Cream,75 G,2,5,
,,,,,,,,,230,Le Sancy 3-In-1 Pack,150 G,1,15,
,,,,,,,,,231,Dettol,150 G,1,6,
,,,,,,,,,232,Lux Int.White-Mild Clsr,150 G,1,5,
,,,,,,,,,233,Lux Int.Blue-Oily Skin,150 G,1,5,
,,,,,,,,,234,Lux Int.Peach-Dry Skin,150 G,1,5,
,,,,,,,,,235,Lux Int.White-Norm.Skin,150 G,1,5,
,,,,,,,,,236,Lux Int.(N/S),150 G,1,5,
,,,,,,,,,237,Camay Natural-White,150 G,1,5,
,,,,,,,,,238,Camay Classic-D.PinkDTOD,75 G,1,5,
,,,,,,,,,239,Camay Classic-D.PinkDTOD,150 G,1,5,
,,,,,,,,,240,Camay Natural-White-DTOD,75 G,1,5,
,,,,,,,,,241,Camay Natural-White-DTOD,150 G,1,5,
,,,,,,,,,242,Liril Lime,150 G,1,8,
,,,,,,,,,243,Pond's Face Wash,50 M,1,5,
,,,,,,,,,244,Godrej Shikakai,100 G,1,9,
,,,,,,,,,245,Ganga,150 G,2,5,
,,,,,,,,,246,Dettol Liq. With Pump,250 M,1,15,
,,,,,,,,,247,Dettol Liq. Without Pump,250 M,1,15,
,,,,,,,,,248,Neem,75 G,2,7,
,,,,,,,,,249,Lifebuoy Liq. Moneysaver,250 M,1,15,
,,,,,,,,,250,Margo,150 G,1,7,
,,,,,,,,,251,Hamam,125 G,2,7,
,,,,,,,,,252,Protex Balance,75 G,1,6,
,,,,,,,,,253,Protex Ultra,75 G,1,6,
,,,,,,,,,254,Protex Gentle,75 G,1,6,
,,,,,,,,,255,Palmolive E.C White+(P),150 G,1,5,
,,,,,,,,,256,Palmolive E.C Green+(P),150 G,1,5,
,,,,,,,,,257,Palmolive.E.C Pink+ (P),150 G,1,5,
,,,,,,,,,258,Margo + Check Bar On 2,75 G,1,7,
,,,,,,,,,259,Camay Milk Cream,125 G,2,5,
,,,,,,,,,260,Margo + Soap Box,100 G,1,7,
,,,,,,,,,261,Other Shikakai Soaps,,1,9,
,,,,,,,,,262,Other Neem Soaps,,2,7,
,,,,,,,,,263,Santoor(Tur&Sandal),75 G,2,5,
,,,,,,,,,264,Santoor(Tur&Sandal),150 G,2,5,
,,,,,,,,,265,Johnson's Baby+Comb,75 G,1,12,
,,,,,,,,,266,Cinthol Lime,125 G,2,8,
,,,,,,,,,267,Wipro Baby Soft Almond&,75 G,1,12,
,,,,,,,,,268,Classic Glycerine Soap,,1,13,
,,,,,,,,,269,Camay Milk Cream Rs.5,75 G,2,5,
,,,,,,,,,270,Camay Milk Cream Rs.8,150 G,2,5,
,,,,,,,,,271,Tuhina Glycerine Soap,75 G,1,13,
,,,,,,,,,272,Cinthol Lime Fresh,75 G,2,8,
,,,,,,,,,273,Park Avenue,150 G,1,15,
,,,,,,,,,274,Monty Glycerine Soap,,1,13,
,,,,,,,,,275,Hamam,75 G,2,7,
,,,,,,,,,276,Le Sancy Lavender,150 G,1,15,
,,,,,,,,,277,Protex White Gentle,150 G,1,6,
,,,,,,,,,278,Protex Blue Balance,150 G,1,6,
,,,,,,,,,279,Camay (N/S),75 G,1,5,
,,,,,,,,,280,Camay (N/S),150 G,1,5,
,,,,,,,,,281,Lifebuoy,100 G,3,14,
,,,,,,,,,282,Rexona Sandal,100 G,2,5,
,,,,,,,,,283,Mysore Carbolic,100 G,3,14,
,,,,,,,,,284,Mysore Lavender,150 G,1,5,
,,,,,,,,,285,Pond's Mois.& Cleansing,75 G,1,10,
,,,,,,,,,286,Santoor(Tur&Sandal),100 G,2,5,
,,,,,,,,,287,Breeze Rose,100 G,4,5,
,,,,,,,,,288,Liril Fresh,75 G,1,8,
,,,,,,,,,289,Cinthol Lime+50G Rs.8.50,125 G,2,8,
,,,,,,,,,290,Mysore Sandal,125 G,1,5,
,,,,,,,,,291,Ganga,75 G,2,5,
,,,,,,,,,292,Rexona (N/S),75 G,2,5,
,,,,,,,,,293,Cinthol Classic,75 G,1,8,
,,,,,,,,,294,Cinthol Int.(N/S),75 G,1,8,
,,,,,,,,,295,Rexona Coconut,100 G,2,5,
,,,,,,,,,296,Cinthol Spicy Fresh,75 G,1,8,
,,,,,,,,,297,Imperial Leather Orig.,75 G,1,15,
,,,,,,,,,298,Liril,50 G,1,8,
,,,,,,,,,299,Johnson & Johnson Liq.,100 M,1,15,
,,,,,,,,,300,Amie Tulasi&Neem Yellow,75 G,1,15,
,,,,,,,,,301,Amie Tulasi&Neem Green,75 G,1,15,
,,,,,,,,,302,Amie Tulasi&Neem White,75 G,1,15,
,,,,,,,,,303,Lakme Maximum Face Wash,50 G,1,5,
,,,,,,,,,304,Moti Gulab,75 G,1,5,
,,,,,,,,,305,Moti Gulab,150 G,1,5,
,,,,,,,,,306,Lifebuoy Gold,75 G,2,6,
,,,,,,,,,307,OK-Pink,75 G,3,14,
,,,,,,,,,308,Liril+1 Cake On 3,75 G,1,8,
,,,,,,,,,309,Dettol + 50 Ps Off,50 G,1,6,
,,,,,,,,,310,Lifebuoy,125 G,3,14,
,,,,,,,,,311,Jai (N/S),75 G,4,5,
,,,,,,,,,312,Dettol + Mug On 2,75 G,1,6,
,,,,,,,,,313,Dettol + 25 G,75 G,1,6,
,,,,,,,,,314,Nirmabath,75 G,3,14,
,,,,,,,,,315,Santoor Milk & Roses,75 G,2,5,
,,,,,,,,,316,Santoor Milk & Roses,125 G,2,5,
,,,,,,,,,317,Palmolive Naturals White,75 G,1,5,
,,,,,,,,,318,Palmolive Naturals Green,75 G,1,5,
,,,,,,,,,319,Dettol,50 G,1,6,
,,,,,,,,,320,Wipro Shikakai+Santoor,100 G,1,9,
,,,,,,,,,321,Palmolive E.C+Rs.1 Off,150 G,1,5,
,,,,,,,,,322,Spring,75 G,2,5,
,,,,,,,,,323,Spring,125 G,2,5,
,,,,,,,,,324,Lifebuoy Gold,125 G,2,6,
,,,,,,,,,325,Cinthol Lime Fresh,125 G,2,8,
,,,,,,,,,326,Dettol Liq. Soap+Pet Jar,250 M,1,15,
,,,,,,,,,327,Lux International Green,125 G,1,5,
,,,,,,,,,328,Rexona Coconut,75 G,2,5,
,,,,,,,,,329,Rexona Sandal,75 G,2,5,
,,,,,,,,,330,Kasthuri,75 G,2,15,
,,,,,,,,,331,Doodh Ganga,75 G,2,5,
,,,,,,,,,332,Lux International Pink,125 G,1,5,
,,,,,,,,,333,Rexona Coconut,125 G,2,5,
,,,,,,,,,334,Pears Face Wash,60 G,1,5,
,,,,,,,,,335,Johnson's Kids (N/S),75 G,1,12,
,,,,,,,,,336,Wipro Herbal,100 G,2,7,
,,,,,,,,,337,Cinthol Fresh 2Cake Rs14,75 G,2,8,
,,,,,,,,,338,Dettol + 25 G,75 G,1,6,
,,,,,,,,,339,Dettol+SoapCase On 2,75 G,1,6,
,,,,,,,,,340,Doodh Ganga +Rs.1 Off,75 G,2,5,
,,,,,,,,,341,Cinthol Int.2Cakes Rs.20,75 G,1,8,
,,,,,,,,,342,Cinthol Lime Fresh+Pen,75 G,2,8,
,,,,,,,,,343,Nirma Premium Green,75 G,1,5,
,,,,,,,,,344,Nirma Premium Pink,75 G,1,5,
,,,,,,,,,345,Nirma Premium White,75 G,1,5,
,,,,,,,,,346,Cinthol 2 Cake For Rs27,100 G,1,8,
,,,,,,,,,347,Imperial Leather Orig.,150 G,1,15,
,,,,,,,,,348,Imperial Leather White,75 G,1,15,
,,,,,,,,,349,Imperial Leather White,150 G,1,15,
,,,,,,,,,350,Premium Deo Fresh,150 G,1,15,
,,,,,,,,,351,Premium Sandal Rich,150 G,1,15,
,,,,,,,,,352,Hamam Herbal,100 G,2,7,
,,,,,,,,,353,Cinthol Ultimate,50 G,1,8,
,,,,,,,,,354,Cinthol Ultimate,100 G,1,8,
,,,,,,,,,355,Nirma Lime Fresh,75 G,1,8,
,,,,,,,,,356,Rexona Olive,75 G,2,5,
,,,,,,,,,357,Wipro Herbal,75 G,2,7,
,,,,,,,,,358,Jai Lime,75 G,4,8,
,,,,,,,,,359,Palmolive E.C+Soap Case,150 G,1,5,
,,,,,,,,,360,Palmolive E.C+HaloSacht.,75 G,1,5,
,,,,,,,,,361,Lux Beauty+ Lux Shampoo,100 G,2,5,
,,,,,,,,,362,Nirmabath +Bucket Offer,75 G,3,14,
,,,,,,,,,363,Vrinda Medimix,100 G,1,7,
,,,,,,,,,364,Santoor(Tur&Sandal)+Talc,150 G,2,5,
,,,,,,,,,365,Lifebuoy Gold+Bucket,75 G,2,6,
,,,,,,,,,366,Moti + Bucket Offer,75 G,1,5,
,,,,,,,,,367,Liril Fresh+Bucket Offer,75 G,1,8,
,,,,,,,,,368,Rexona +Bucket Offer,75 G,2,5,
,,,,,,,,,369,Lifebuoy Plus+Bucket,100 G,2,6,
,,,,,,,,,370,Palmolive Naturals White,125 G,1,5,
,,,,,,,,,371,Pond's Face Wash Sachet,,1,5,
,,,,,,,,,372,Cinthol Scent Fresh,75 G,2,8,
,,,,,,,,,373,Cinthol Scent Fresh,125 G,2,8,
,,,,,,,,,374,Ganga(New),75 G,2,5,
,,,,,,,,,375,Pears,125 G,1,13,
,,,,,,,,,376,Palmolive E.C+Rs.1 Off,75 G,1,5,
,,,,,,,,,377,Palmolive E.C+Plastic,150 G,1,5,
,,,,,,,,,378,Lifebuoy Plus,50 G,2,6,
,,,,,,,,,379,Godrej NO.1(N/S),75 G,2,5,
,,,,,,,,,380,Godrej NO.1(N/S),125 G,2,5,
,,,,,,,,,381,Jai Jasmine,75 G,4,5,
,,,,,,,,,382,Johnson's Baby+Rocky,75 G,1,12,
,,,,,,,,,383,Santoor(Sandal&Besan),100 G,2,5,
,,,,,,,,,384,Lux International White/,125 G,1,5,
,,,,,,,,,385,Lux International Green,75 G,1,5,
,,,,,,,,,386,Lux Int.Pink-Vtm E,75 G,1,5,
,,,,,,,,,387,Johnson's Kids Orange,75 G,1,12,
,,,,,,,,,388,Pears+20 G Pears Face,125 G,1,13,
,,,,,,,,,389,Santoor Chandan,125 G,2,5,
,,,,,,,,,390,Spring Neem & Lime,75 G,2,8,
,,,,,,,,,391,Spring Neem & Lime,125 G,2,8,
,,,,,,,,,392,Palmolive Naturals Yello,75 G,1,5,
,,,,,,,,,393,Medimix,20 G,1,7,
,,,,,,,,,394,Medimix,150 G,1,7,
,,,,,,,,,395,Jai Jasmine + 50ps Off,75 G,4,5,
,,,,,,,,,396,Lux International (P),75 G,1,5,
,,,,,,,,,397,Unbranded Soap,,2,15,
,,,,,,,,,398,Doy Green(Elephant),75 G,1,12,
,,,,,,,,,399,Lux Beauty+20 G Surf Exl,100 G,2,5,
,,,,,,,,,400,Hamam Herbal,150 G,2,7,
,,,,,,,,,401,Medimix,125 G,1,7,
,,,,,,,,,402,Lux International (N/S),125 G,1,5,
,,,,,,,,,403,Lakme PH Bal.Face Wash,100 G,1,5,
,,,,,,,,,404,Liril+Rs 2 Off,75 G,1,8,
,,,,,,,,,405,Johnson's Kids+1 CakeOn2,75 G,1,12,
,,,,,,,,,406,Johnson's Baby+Dish On 2,75 G,1,12,
,,,,,,,,,407,Palmolive E.C+24K Earng.,150 G,1,5,
